# Context-normalization mappings for life-science-writing-expansions in automatic mode.
# Merged from bundled profile guidance and topic-specific alternatives.

bio reps	biological replicates
dual-use governance review	dual-use oversight workflow
dual-use oversight notice	dual-use review notice
DURC authorization request	DURC review request
DURC permit	DURC registration status
biosafety permit number	biosafety permit identifier
lab biosafety training	biosafety training workflow
bioincident	biological safety event workflow
biological risk waiver	risk-mitigation waiver status
chain-of-custody deviation	custody-record deviation workflow
transport incident log	transport incident documentation
regulated sequence synthesis	regulatory sequence-synthesis workflow
sequence synthesis authorization	sequence-synthesis authorization record
gene construct review	gene-construct review workflow
reagent chain verification	reagent custody verification
vial labeling protocol	vial-labeling workflow
spill incident log	spill incident documentation
deconformance workflow	nonconformance resolution workflow

# Life science - biosafety governance and transfer control
pathogen transfer permit	biological transfer permit workflow
pathogen import permit	biological material import authorization
pathogen export permit	biological material export authorization
select-agent handling permit	regulated-material handling permit
high-consequence agent permit	high-consequence-agent authorization
biological transfer authorization	biological transfer authorization workflow
biological transfer request	biological transfer request workflow
biological transfer record	biological transfer record workflow
biological transfer log	biological transfer log workflow
biological transfer logbook	biological transfer logbook workflow
biosafety incident report	biosafety incident documentation
biosafety noncompliance report	biosafety noncompliance report
biosafety corrective action plan	biosafety corrective-action plan
biosafety corrective action	biosafety corrective-action workflow
biosafety inspection notice	biosafety inspection notice workflow
biosafety inspection finding	biosafety inspection finding workflow
biosecurity incident	biosecurity incident workflow
biosafety chain record	biosafety chain record workflow
biosafety chain-of-custody	biosafety chain-of-custody workflow
biosafety chain-of-identity	biosafety chain-of-identity workflow
biosafety chain-of-identity log	biosafety chain-of-identity log
biosecurity clearance review	biosecurity clearance review workflow
biosecurity permit	biosecurity permit workflow
biosecurity permit number	biosecurity permit identifier
biosecurity training record	biosecurity training documentation
biosafety training completion	biosafety training completion workflow
biosafety training checklist	biosafety training checklist workflow
bioburden assessment	bioburden assessment workflow
bioburden trend	bioburden trend workflow
bioburden report	bioburden reporting workflow
chain-of-identity verification	chain-of-identity verification workflow
chain-of-identity integrity	chain-of-identity integrity workflow
chain-of-custody mismatch	chain-of-custody discrepancy workflow
chain-of-custody discrepancy	chain-of-custody discrepancy workflow
chain-of-custody integrity	chain-of-custody integrity workflow
reagent chain-of-custody	reagent chain-of-custody workflow
specimen chain-of-custody	specimen chain-of-custody workflow
specimen chain-of-identity	specimen chain-of-identity workflow
sample chain-of-custody	sample chain-of-custody workflow
sample chain-of-custody mismatch	sample chain-of-custody mismatch workflow
specimen chain-of-custody log	specimen chain-of-custody log workflow
facility access review	facility access review workflow
facility access badge	facility access credential workflow
facility access control	facility access control workflow
biosafety access control	biosafety access control workflow
biorepository release	biorepository release workflow
biorepository transfer	biorepository transfer workflow
biorepository custody	biorepository custody workflow
vaccine lot release	vaccine lot-release workflow
lot release criteria	lot-release criteria workflow
vaccine lot	vaccine lot workflow
lot quarantine	lot quarantine workflow
batch recall	batch recall workflow
batch hold	batch hold workflow
vaccine cold chain	vaccine cold-chain workflow
cold chain monitoring	cold-chain monitoring workflow
cold chain excursion	cold-chain excursion workflow
cold chain interruption	cold-chain interruption workflow
quarantine activation	quarantine activation workflow
quarantine threshold	quarantine threshold workflow
quarantine facility	quarantine facility workflow
sample quarantine	sample quarantine workflow
isolation protocol activation	isolation protocol activation workflow
isolation cohort	isolation cohort workflow
waste decontamination manifest	waste decontamination manifest workflow
biowaste permit	biowaste transport permit
biological waste manifest	biological waste manifest workflow
biohazardous waste manifest	biohazardous waste-manifest workflow
emergency response plan	emergency response planning workflow
public health emergency response	public-health emergency-response workflow
public health authority alert	public-health authority alert workflow
risk communication strategy	risk communication strategy workflow
incident command statement	incident command notification workflow
contact tracing log	contact tracing log workflow
case definition criteria	case definition criteria workflow
case cohort	case cohort workflow
cluster response	cluster response workflow
outbreak cluster alert	outbreak cluster alert workflow
hospital outbreak protocol	hospital outbreak protocol workflow
facility contamination investigation	facility contamination investigation workflow
environmental sampling report	environmental sampling report workflow
environmental swab result	environmental swab result workflow
surface swab result	surface swab result workflow
air sample result	air sample result workflow
wastewater report	wastewater report workflow
wastewater surveillance	wastewater surveillance workflow
vector surveillance	vector surveillance workflow
serological surveillance	serological surveillance workflow
pathogen tracing	pathogen tracing workflow
index transmission chain	index transmission-chain workflow
transmission event	transmission event workflow
transmission event report	transmission event report workflow
transmission map	transmission map workflow
reproduction estimate	reproduction estimate workflow
R value	reproduction estimate workflow
attack-rate estimate	attack-rate estimate workflow
secondary attack estimate	secondary-attack estimate workflow
incubation estimate	incubation estimate workflow
serial interval estimate	serial interval estimate workflow
generation interval estimate	generation interval estimate workflow
infectious period	infectious-period workflow
incubation period estimate	incubation period estimate workflow
virus-host interface	virus-host interaction workflow
host switch event	host-range transition workflow
cross-species transmission	cross-species transmission workflow
animal-human interface	animal-human transmission interface workflow
human-animal interface	human-animal transmission interface workflow
one health coordination	one-health coordination workflow
one health response	one-health response workflow
